conflicts_per_tx,mean_ro_entries_per_conflict,mean_rw_entries_per_conflict,1_stage,2_stage,3_stage,4_stage
10,20,1,0.663129,0.941018,0.989505,0.981801,
10,20,2,0.450676,0.81755,0.963947,0.979077,
10,20,3,0.380235,0.693507,0.867162,0.962607,
10,20,4,0.297221,0.533855,0.734559,0.881509,
10,20,5,0.248488,0.477498,0.644048,0.796995,
10,30,1,0.675195,0.959152,0.988967,0.982691,
10,30,2,0.499837,0.81157,0.950777,0.979236,
10,30,3,0.4025,0.713143,0.852478,0.947436,
10,30,4,0.295342,0.575626,0.768441,0.897323,
10,30,5,0.236545,0.473597,0.663137,0.788333,
10,40,1,0.755876,0.908481,0.989659,0.986141,
10,40,2,0.565029,0.847607,0.967246,0.978539,
10,40,3,0.387411,0.737085,0.860815,0.968398,
10,40,4,0.31734,0.634624,0.798254,0.898542,
10,40,5,0.275115,0.514775,0.689777,0.821386,
10,50,1,0.739118,0.929537,0.984733,0.986281,
10,50,2,0.585025,0.882033,0.940077,0.980964,
10,50,3,0.449178,0.769507,0.90175,0.950062,
10,50,4,0.337532,0.645298,0.802939,0.88504,
10,50,5,0.277454,0.509614,0.713524,0.814981,
